date,path,pageviews,unique_users,sessions_with_page,avg_scroll_depth,total_clicks
2025-01-01,/checkout/payment,169,102,111,61.53,114
2025-01-01,/cart,162,92,106,64.88,110
2025-01-01,/checkout/thankyou,151,103,111,63.66,108
2025-01-01,/category/security-cameras,145,98,108,63.67,108
2025-01-01,/products/video-doorbell-pro-2,109,96,109,61.98,44
2025-01-01,/products/indoor-cam-(2nd-gen),105,97,105,66.33,48
2025-01-01,/products/stick-up-cam-battery,100,95,100,59.77,40
2025-01-01,/products/ring-alarm-8-piece,85,82,85,57.55,28
2025-01-02,/checkout/payment,154,109,110,65.03,107
2025-01-02,/category/security-cameras,152,106,110,59.85,113
2025-01-02,/cart,147,101,102,65.42,101
2025-01-02,/checkout/thankyou,136,92,95,59.06,93
2025-01-02,/products/ring-alarm-8-piece,110,107,110,63.16,42
2025-01-02,/products/video-doorbell-pro-2,106,102,106,64.86,45
2025-01-02,/products/indoor-cam-(2nd-gen),95,89,95,59.82,43
2025-01-02,/products/stick-up-cam-battery,90,89,90,59.13,42
2025-01-03,/checkout/payment,161,106,109,64.94,117
2025-01-03,/cart,141,98,102,62.5,109
2025-01-03,/category/security-cameras,133,104,105,61.75,87
2025-01-03,/checkout/thankyou,129,99,100,64.31,95
2025-01-03,/products/indoor-cam-(2nd-gen),113,110,113,64.58,43
2025-01-03,/products/ring-alarm-8-piece,111,107,111,58.71,51
2025-01-03,/products/video-doorbell-pro-2,93,90,93,70.12,37
2025-01-03,/products/stick-up-cam-battery,83,83,83,65.54,35
2025-01-04,/checkout/payment,147,105,106,63.26,97
2025-01-04,/checkout/thankyou,143,95,97,63.06,103
2025-01-04,/cart,138,102,103,65.3,101
2025-01-04,/category/security-cameras,137,97,98,62.5,92
2025-01-04,/products/indoor-cam-(2nd-gen),113,112,113,64.64,39
2025-01-04,/products/stick-up-cam-battery,101,99,101,66.67,42
2025-01-04,/products/video-doorbell-pro-2,97,96,97,63.18,34
2025-01-04,/products/ring-alarm-8-piece,89,86,89,62.5,36
2025-01-05,/checkout/thankyou,159,106,109,64.7,108
2025-01-05,/category/security-cameras,155,109,109,62.83,101
2025-01-05,/cart,149,113,113,63.78,105
2025-01-05,/checkout/payment,137,101,105,64.51,101
2025-01-05,/products/video-doorbell-pro-2,108,106,108,68.93,44
2025-01-05,/products/ring-alarm-8-piece,105,103,105,60.27,43
2025-01-05,/products/indoor-cam-(2nd-gen),96,95,96,64.62,41
2025-01-05,/products/stick-up-cam-battery,91,90,91,61.73,33
2025-01-06,/cart,140,107,108,61.01,97
2025-01-06,/checkout/payment,134,96,96,60.57,86
2025-01-06,/checkout/thankyou,134,98,100,63.62,104
2025-01-06,/category/security-cameras,128,96,96,63.39,95
2025-01-06,/products/ring-alarm-8-piece,103,102,103,70.0,39
2025-01-06,/products/video-doorbell-pro-2,101,98,101,60.2,42
2025-01-06,/products/indoor-cam-(2nd-gen),99,97,99,65.09,41
2025-01-06,/products/stick-up-cam-battery,97,96,97,63.16,40
2025-01-07,/category/security-cameras,148,95,96,65.0,101
2025-01-07,/cart,141,101,102,63.01,100
2025-01-07,/checkout/thankyou,133,93,93,61.9,87
2025-01-07,/checkout/payment,115,83,84,58.63,85
2025-01-07,/products/indoor-cam-(2nd-gen),106,105,106,58.48,36
2025-01-07,/products/stick-up-cam-battery,106,104,106,62.73,39
2025-01-07,/products/ring-alarm-8-piece,95,94,95,56.82,34
2025-01-07,/products/video-doorbell-pro-2,93,92,93,62.77,34
2025-01-08,/checkout/thankyou,172,121,123,62.81,116
2025-01-08,/category/security-cameras,155,104,106,64.29,113
2025-01-08,/checkout/payment,152,118,118,61.49,106
2025-01-08,/cart,137,96,97,61.64,95
2025-01-08,/products/indoor-cam-(2nd-gen),108,108,108,62.3,39
2025-01-08,/products/ring-alarm-8-piece,100,99,100,61.51,42
2025-01-08,/products/video-doorbell-pro-2,97,96,97,62.5,42
2025-01-08,/products/stick-up-cam-battery,95,95,95,66.0,40
2025-01-09,/checkout/thankyou,154,110,111,62.5,117
2025-01-09,/cart,152,120,121,62.67,112
2025-01-09,/checkout/payment,151,104,104,64.43,112
2025-01-09,/category/security-cameras,136,97,99,62.4,103
2025-01-09,/products/ring-alarm-8-piece,116,115,116,63.38,48
2025-01-09,/products/indoor-cam-(2nd-gen),107,107,107,63.21,42
2025-01-09,/products/stick-up-cam-battery,102,102,102,68.18,36
2025-01-09,/products/video-doorbell-pro-2,75,74,75,59.78,34
2025-01-10,/category/security-cameras,151,101,103,66.52,95
2025-01-10,/checkout/thankyou,148,100,101,64.48,101
2025-01-10,/cart,147,106,107,67.52,108
2025-01-10,/checkout/payment,141,103,105,61.44,95
2025-01-10,/products/ring-alarm-8-piece,105,105,105,63.75,52
2025-01-10,/products/indoor-cam-(2nd-gen),103,102,103,62.04,39
2025-01-10,/products/stick-up-cam-battery,96,96,96,69.71,31
2025-01-10,/products/video-doorbell-pro-2,96,96,96,63.36,37
2025-01-11,/checkout/thankyou,181,125,126,60.99,124
2025-01-11,/checkout/payment,156,112,112,60.69,108
2025-01-11,/cart,155,107,108,63.25,106
2025-01-11,/category/security-cameras,154,110,110,60.82,109
2025-01-11,/products/stick-up-cam-battery,116,116,116,60.53,44
2025-01-11,/products/ring-alarm-8-piece,98,98,98,60.0,44
2025-01-11,/products/indoor-cam-(2nd-gen),93,93,93,65.62,33
2025-01-11,/products/video-doorbell-pro-2,93,93,93,64.62,43
2025-01-12,/checkout/thankyou,164,114,114,62.02,120
2025-01-12,/cart,155,109,109,62.74,104
2025-01-12,/checkout/payment,152,104,105,62.33,105
2025-01-12,/category/security-cameras,135,100,100,62.26,88
2025-01-12,/products/ring-alarm-8-piece,109,109,109,55.93,51
2025-01-12,/products/indoor-cam-(2nd-gen),99,99,99,63.71,37
2025-01-12,/products/video-doorbell-pro-2,99,99,99,59.72,44
2025-01-12,/products/stick-up-cam-battery,93,93,93,61.48,35
2025-01-13,/checkout/payment,168,117,117,61.76,112
2025-01-13,/category/security-cameras,152,102,102,61.59,107
2025-01-13,/cart,150,115,115,61.94,102
2025-01-13,/checkout/thankyou,128,98,98,64.62,93
2025-01-13,/products/video-doorbell-pro-2,104,104,104,64.17,41
2025-01-13,/products/stick-up-cam-battery,103,103,103,57.14,46
2025-01-13,/products/ring-alarm-8-piece,99,99,99,60.58,36
2025-01-13,/products/indoor-cam-(2nd-gen),94,93,94,66.92,40
2025-01-14,/cart,149,99,100,62.33,103
2025-01-14,/checkout/thankyou,133,98,98,63.27,90
2025-01-14,/category/security-cameras,130,104,104,65.08,97
2025-01-14,/checkout/payment,116,85,85,63.03,82
2025-01-14,/products/stick-up-cam-battery,109,109,109,63.39,47
2025-01-14,/products/ring-alarm-8-piece,106,106,106,61.82,33
2025-01-14,/products/video-doorbell-pro-2,96,96,96,67.79,41
2025-01-14,/products/indoor-cam-(2nd-gen),89,89,89,57.89,34
2025-01-15,/checkout/payment,151,106,107,61.18,106
2025-01-15,/checkout/thankyou,151,103,104,61.73,103
2025-01-15,/cart,149,106,106,63.95,109
2025-01-15,/category/security-cameras,121,82,83,59.5,83
2025-01-15,/products/video-doorbell-pro-2,109,109,109,66.53,39
2025-01-15,/products/ring-alarm-8-piece,108,108,108,64.04,43
2025-01-15,/products/stick-up-cam-battery,93,93,93,61.22,36
2025-01-15,/products/indoor-cam-(2nd-gen),90,90,90,58.47,29
2025-01-16,/cart,142,103,104,61.94,93
2025-01-16,/checkout/thankyou,142,106,106,65.58,100
2025-01-16,/category/security-cameras,128,99,100,62.3,105
2025-01-16,/products/video-doorbell-pro-2,122,121,122,61.97,51
2025-01-16,/checkout/payment,121,100,100,61.49,89
2025-01-16,/products/indoor-cam-(2nd-gen),98,98,98,64.66,35
2025-01-16,/products/stick-up-cam-battery,93,93,93,65.5,35
2025-01-16,/products/ring-alarm-8-piece,87,87,87,61.32,35
2025-01-17,/category/security-cameras,153,111,111,60.56,111
2025-01-17,/checkout/payment,152,110,110,58.87,98
2025-01-17,/cart,139,103,104,65.29,94
2025-01-17,/checkout/thankyou,118,90,90,62.4,87
2025-01-17,/products/stick-up-cam-battery,110,110,110,56.64,38
2025-01-17,/products/ring-alarm-8-piece,105,105,105,66.39,46
2025-01-17,/products/indoor-cam-(2nd-gen),95,95,95,65.12,42
2025-01-17,/products/video-doorbell-pro-2,90,90,90,60.42,24
2025-01-18,/category/security-cameras,176,123,123,63.51,130
2025-01-18,/checkout/thankyou,142,106,106,61.96,101
2025-01-18,/checkout/payment,138,105,106,62.5,100
2025-01-18,/cart,134,101,101,60.15,85
2025-01-18,/products/ring-alarm-8-piece,113,113,113,66.04,44
2025-01-18,/products/indoor-cam-(2nd-gen),100,99,100,63.89,44
2025-01-18,/products/stick-up-cam-battery,96,96,96,64.29,36
2025-01-18,/products/video-doorbell-pro-2,91,91,91,59.64,48
2025-01-19,/category/security-cameras,169,117,117,65.46,124
2025-01-19,/checkout/payment,165,116,117,65.03,123
2025-01-19,/cart,160,115,115,63.39,106
2025-01-19,/checkout/thankyou,159,119,119,62.26,106
2025-01-19,/products/stick-up-cam-battery,107,106,107,61.72,47
2025-01-19,/products/video-doorbell-pro-2,104,104,104,63.64,45
2025-01-19,/products/indoor-cam-(2nd-gen),101,101,101,63.73,45
2025-01-19,/products/ring-alarm-8-piece,88,88,88,64.62,38
2025-01-20,/checkout/payment,141,104,104,65.0,98
2025-01-20,/category/security-cameras,134,100,100,55.97,94
2025-01-20,/cart,132,90,90,67.13,93
2025-01-20,/checkout/thankyou,124,94,94,61.29,90
2025-01-20,/products/video-doorbell-pro-2,107,107,107,65.74,34
2025-01-20,/products/stick-up-cam-battery,106,106,106,62.68,42
2025-01-20,/products/indoor-cam-(2nd-gen),95,95,95,64.63,34
2025-01-20,/products/ring-alarm-8-piece,92,92,92,62.08,32
2025-01-21,/category/security-cameras,165,109,111,60.0,110
2025-01-21,/cart,159,106,107,64.93,108
2025-01-21,/checkout/payment,158,113,113,60.5,115
2025-01-21,/checkout/thankyou,140,100,102,61.27,98
2025-01-21,/products/stick-up-cam-battery,103,103,103,66.84,30
2025-01-21,/products/indoor-cam-(2nd-gen),102,102,102,60.0,44
2025-01-21,/products/video-doorbell-pro-2,100,99,100,66.51,29
2025-01-21,/products/ring-alarm-8-piece,95,95,95,60.1,37
2025-01-22,/checkout/payment,148,105,105,61.44,99
2025-01-22,/cart,147,105,105,64.47,100
2025-01-22,/checkout/thankyou,145,98,98,63.62,93
2025-01-22,/category/security-cameras,137,99,99,58.88,97
2025-01-22,/products/stick-up-cam-battery,111,111,111,62.31,45
2025-01-22,/products/indoor-cam-(2nd-gen),100,100,100,62.93,39
2025-01-22,/products/video-doorbell-pro-2,98,98,98,65.76,31
2025-01-22,/products/ring-alarm-8-piece,91,90,91,59.5,37
2025-01-23,/category/security-cameras,126,95,95,60.66,85
2025-01-23,/checkout/thankyou,126,95,95,61.59,91
2025-01-23,/cart,125,96,96,63.33,90
2025-01-23,/checkout/payment,112,92,92,59.26,76
2025-01-23,/products/stick-up-cam-battery,111,111,111,60.1,39
2025-01-23,/products/video-doorbell-pro-2,100,100,100,67.5,34
