date,discount_coupon_code,usage_count,total_discount_given,total_revenue,avg_order_value,discount_percentage
2025-01-01,RING20,11,80,6649.61,604.51,1.2
2025-01-01,HOLIDAY10,10,100,5079.7,507.97,1.97
2025-01-01,NO_COUPON,7,50,2849.78,407.11,1.75
2025-01-02,NO_COUPON,13,130,8329.54,640.73,1.56
2025-01-02,RING20,10,80,5259.67,525.97,1.52
2025-01-02,HOLIDAY10,8,90,4399.75,549.97,2.05
2025-01-03,HOLIDAY10,11,110,5419.67,492.7,2.03
2025-01-03,RING20,11,90,4869.66,442.7,1.85
2025-01-03,NO_COUPON,8,60,4889.72,611.22,1.23
2025-01-04,HOLIDAY10,9,120,5089.7,565.52,2.36
2025-01-04,RING20,9,110,4359.75,484.42,2.52
2025-01-04,NO_COUPON,8,110,4239.74,529.97,2.59
2025-01-05,HOLIDAY10,15,180,8049.51,536.63,2.24
2025-01-05,NO_COUPON,13,100,7459.6,573.82,1.34
2025-01-05,RING20,8,60,3589.79,448.72,1.67
2025-01-06,HOLIDAY10,15,130,6879.56,458.64,1.89
2025-01-06,NO_COUPON,14,120,6879.59,491.4,1.74
2025-01-06,RING20,11,90,5469.66,497.24,1.65
2025-01-07,NO_COUPON,12,130,5869.62,489.14,2.21
2025-01-07,HOLIDAY10,8,110,2739.83,342.48,4.01
2025-01-07,RING20,4,40,1829.88,457.47,2.19
2025-01-08,HOLIDAY10,18,230,9049.42,502.75,2.54
2025-01-08,RING20,14,120,6669.6,476.4,1.8
2025-01-08,NO_COUPON,12,120,5739.63,478.3,2.09
2025-01-09,RING20,13,110,7059.57,543.04,1.56
2025-01-09,HOLIDAY10,9,90,3969.76,441.08,2.27
2025-01-09,NO_COUPON,6,70,3819.79,636.63,1.83
2025-01-10,HOLIDAY10,12,150,6569.63,547.47,2.28
2025-01-10,RING20,10,90,5559.69,555.97,1.62
2025-01-10,NO_COUPON,6,100,2459.87,409.98,4.07
2025-01-11,RING20,13,180,4479.65,344.59,4.02
2025-01-11,NO_COUPON,12,110,5989.65,499.14,1.84
2025-01-11,HOLIDAY10,8,120,3689.78,461.22,3.25
2025-01-12,HOLIDAY10,17,110,7179.59,422.33,1.53
2025-01-12,RING20,14,130,6889.62,492.12,1.89
2025-01-12,NO_COUPON,4,40,2769.85,692.46,1.44
2025-01-13,HOLIDAY10,10,130,4349.72,434.97,2.99
2025-01-13,RING20,10,100,4509.72,450.97,2.22
2025-01-13,NO_COUPON,9,90,4109.76,456.64,2.19
2025-01-14,NO_COUPON,13,110,6369.6,489.97,1.73
2025-01-14,RING20,13,120,6599.55,507.66,1.82
2025-01-14,HOLIDAY10,12,80,7829.56,652.46,1.02
2025-01-15,NO_COUPON,10,130,5329.69,532.97,2.44
2025-01-15,HOLIDAY10,8,80,2019.85,252.48,3.96
2025-01-15,RING20,6,80,3289.82,548.3,2.43
2025-01-16,NO_COUPON,10,90,5549.66,554.97,1.62
2025-01-16,RING20,9,60,4899.71,544.41,1.22
2025-01-16,HOLIDAY10,8,60,5119.73,639.97,1.17
2025-01-17,HOLIDAY10,14,150,7069.51,504.96,2.12
2025-01-17,NO_COUPON,11,70,5499.65,499.97,1.27
2025-01-17,RING20,7,70,4169.75,595.68,1.68
2025-01-18,NO_COUPON,12,150,5589.63,465.8,2.68
2025-01-18,HOLIDAY10,11,120,6459.61,587.24,1.86
2025-01-18,RING20,6,40,2439.83,406.64,1.64
2025-01-19,HOLIDAY10,14,180,8679.49,619.96,2.07
2025-01-19,NO_COUPON,10,90,5069.67,506.97,1.78
2025-01-19,RING20,7,80,2019.86,288.55,3.96
2025-01-20,NO_COUPON,13,100,6249.62,480.74,1.6
2025-01-20,HOLIDAY10,11,110,5929.56,539.05,1.86
2025-01-20,RING20,8,100,4549.75,568.72,2.2
2025-01-21,HOLIDAY10,16,190,5909.62,369.35,3.22
2025-01-21,RING20,9,40,4129.75,458.86,0.97
2025-01-21,NO_COUPON,7,30,3159.78,451.4,0.95
2025-01-22,RING20,10,60,6519.65,651.96,0.92
2025-01-22,HOLIDAY10,7,70,4309.77,615.68,1.62
2025-01-22,NO_COUPON,6,80,4129.75,688.29,1.94
2025-01-23,HOLIDAY10,10,110,6659.64,665.96,1.65
2025-01-23,NO_COUPON,10,50,4979.68,497.97,1.0
2025-01-23,RING20,9,90,5349.7,594.41,1.68
2025-01-24,HOLIDAY10,11,140,3959.76,359.98,3.54
2025-01-24,NO_COUPON,9,110,4469.72,496.64,2.46
2025-01-24,RING20,9,110,3939.77,437.75,2.79
2025-01-25,HOLIDAY10,13,140,5669.59,436.12,2.47
2025-01-25,RING20,10,60,4289.7,428.97,1.4
2025-01-25,NO_COUPON,5,30,2769.83,553.97,1.08
2025-01-26,HOLIDAY10,9,100,5849.68,649.96,1.71
2025-01-26,RING20,8,90,4809.72,601.22,1.87
2025-01-26,NO_COUPON,7,70,2899.81,414.26,2.41
2025-01-27,NO_COUPON,17,180,7999.49,470.56,2.25
2025-01-27,HOLIDAY10,13,150,6289.62,483.82,2.38
2025-01-27,RING20,11,100,5099.66,463.61,1.96
2025-01-28,HOLIDAY10,17,200,9309.47,547.62,2.15
2025-01-28,NO_COUPON,10,110,5289.69,528.97,2.08
2025-01-28,RING20,3,20,1629.9,543.3,1.23
2025-01-29,HOLIDAY10,16,170,7539.5,471.22,2.25
2025-01-29,RING20,14,90,5999.61,428.54,1.5
2025-01-29,NO_COUPON,6,60,3169.79,528.3,1.89
2025-01-30,HOLIDAY10,12,90,7289.55,607.46,1.23
2025-01-30,NO_COUPON,12,110,4909.69,409.14,2.24
2025-01-30,RING20,11,80,6569.58,597.23,1.22
2025-01-31,RING20,15,150,3769.71,251.31,3.98
2025-01-31,HOLIDAY10,10,80,5099.71,509.97,1.57
2025-01-31,NO_COUPON,9,90,3869.78,429.98,2.33
2025-02-01,NO_COUPON,19,170,7909.46,416.29,2.15
2025-02-01,HOLIDAY10,14,150,6209.59,443.54,2.42
2025-02-01,RING20,8,80,3079.78,384.97,2.6
2025-02-02,NO_COUPON,17,200,8369.47,492.32,2.39
2025-02-02,RING20,10,90,5699.68,569.97,1.58
2025-02-02,HOLIDAY10,9,60,5959.68,662.19,1.01
2025-02-03,NO_COUPON,14,140,7979.53,569.97,1.75
2025-02-03,HOLIDAY10,8,130,4369.78,546.22,2.97
2025-02-03,RING20,7,30,3349.78,478.54,0.9
2025-02-04,RING20,13,120,6679.6,513.82,1.8
2025-02-04,HOLIDAY10,8,120,3149.83,393.73,3.81
